Incident ID,Timestamp,Incident Type,Call Type,Source Number,Destination Number,Error Code,Signal Strength,Device Type,Network Segment,Codec Used,Jitter,Latency,Packet Loss,Impact Area,Cell Tower Geolocation,Impact Severity,User Impact,Services Affected,Attack Type,Network Load / Congestion Level
230,16-12-2024 6.19,Latency and Delay,Voice,+91 9061263944,+91 9749988321,500.0,-58.49407528186179,Switch,Access Network,G.729,7ms,387ms,1%,Bangalore,"28.1085° N, 77.5725° E",Medium,2110 users,Mobile,DDoS,41%
231,14-12-2024 20.06,Failure to Connect,Video,+91 9005485317,+91 9435540543,500.0,-76.59690635448581,Router,Edge Network,Opus,42ms,473ms,3%,Chennai,"28.3620° N, 77.5793° E",Critical,3397 users,Data,,40%
232,17-12-2024 21.23,Intermittent Failure,Video,+91 9818316429,+91 9212909450,500.0,-56.68245106823709,Router,Edge Network,G.729,44ms,217ms,0%,Chennai,"28.8385° N, 77.9671° E",High,1980 users,Data,Equipment Breach,55%
233,17-12-2024 3.43,Intermittent Service,Voice,+91 9893708822,+91 9478670161,,-66.60728744481085,Router,Access Network,H.264,21ms,99ms,0%,Chennai,"28.0028° N, 77.5285° E",Medium,2686 users,VoIP,,89%
234,15-12-2024 17.25,Complete Service Downtime,Video,+91 9012286471,+91 9064384474,503.0,-73.35162370210388,Mobile,Access Network,H.264,12ms,442ms,3%,Kolkata,"28.3585° N, 77.5110° E",Medium,4986 users,PBX,Call Interception,55%
235,17-12-2024 11.34,No Dial Tone,Voice,+91 9096552154,+91 9100815081,,-72.85869910431303,Mobile,Edge Network,G.729,39ms,273ms,4%,Kolkata,"28.6495° N, 77.0735° E",Critical,4504 users,VoIP,,81%
236,17-12-2024 3.29,Echo During Calls,Voice,+91 9117965850,+91 9942742255,408.0,-73.12174351970864,Router,Core Network,G.729,50ms,124ms,9%,Mumbai,"28.1079° N, 77.7543° E",High,2520 users,Data,Equipment Breach,64%
237,12-12-2024 13.47,Partial Outage,Video,+91 9699995400,+91 9024561300,408.0,-62.34839650348767,Mobile,Edge Network,G.711,12ms,208ms,1%,Kolkata,"28.2089° N, 77.3237° E",High,2214 users,Data,,58%
238,16-12-2024 11.59,Echo During Calls,Video,+91 9826962294,+91 9546588491,408.0,-47.513589460676435,Mobile,Access Network,H.264,5ms,496ms,8%,Mumbai,"28.6340° N, 77.5615° E",Medium,4550 users,VoIP,Equipment Breach,87%
239,17-12-2024 19.45,Echo During Calls,Voice,+91 9125657944,+91 9830983021,408.0,-49.98189833497027,Switch,Access Network,Opus,15ms,449ms,8%,Kolkata,"28.8380° N, 77.1007° E",Medium,318 users,PBX,Equipment Breach,97%
240,18-12-2024 14.04,Failure to Connect,Video,+91 9592581784,+91 9300850561,408.0,-44.461734955624685,Switch,Access Network,Opus,11ms,499ms,4%,Bangalore,"28.6620° N, 77.2300° E",High,3135 users,PBX,Call Interception,73%
241,12-12-2024 22.51,Intermittent Failure,Video,+91 9976579263,+91 9432580242,500.0,-83.42985581157004,Mobile,Access Network,H.264,31ms,154ms,6%,Kolkata,"28.8482° N, 77.6937° E",Low,3710 users,Mobile,Equipment Breach,70%
242,16-12-2024 4.56,Misconfigured Routes,Voice,+91 9419959170,+91 9971390394,503.0,-48.153562547942784,PBX,Core Network,Opus,14ms,290ms,10%,Mumbai,"28.9980° N, 77.5237° E",Low,2509 users,Mobile,Call Interception,100%
243,16-12-2024 4.43,Dropped Calls,Voice,+91 9963599620,+91 9812796786,500.0,-74.31150950928034,PBX,Edge Network,H.264,46ms,426ms,8%,Kolkata,"28.5255° N, 77.2132° E",Low,3719 users,Mobile,Equipment Breach,58%
244,18-12-2024 10.14,malware infections,Voice,+91 9133064172,+91 9732751141,500.0,-77.8749268263311,Router,Access Network,Opus,20ms,265ms,9%,Chennai,"28.4906° N, 77.8633° E",Critical,169 users,Data,DDoS,96%
245,15-12-2024 0.20,Service Outage,Video,+91 9214073705,+91 9733811487,503.0,-59.93373422206375,Switch,Edge Network,G.729,35ms,178ms,6%,Chennai,"28.8630° N, 77.1302° E",Critical,2686 users,Data,Equipment Breach,40%
246,15-12-2024 4.39,Latency or Delays,Video,+91 9360333762,+91 9623312097,408.0,-84.3075727817568,PBX,Edge Network,H.264,24ms,63ms,1%,Bangalore,"28.8552° N, 77.5833° E",Medium,2254 users,PBX,Call Interception,47%
247,14-12-2024 20.09,No Dial Tone,Voice,+91 9865810514,+91 9233363856,500.0,-55.17306781874201,Mobile,Edge Network,Opus,25ms,477ms,0%,Bangalore,"28.1838° N, 77.7759° E",Critical,2382 users,VoIP,,69%
248,15-12-2024 16.07,Misconfigured Routes,Voice,+91 9074742419,+91 9612492722,404.0,-56.01751879584949,Router,Access Network,H.264,37ms,113ms,3%,Kolkata,"28.2305° N, 77.1483° E",Critical,3626 users,PBX,Equipment Breach,82%
249,18-12-2024 19.17,Network Downtime,Voice,+91 9424808318,+91 9350246064,404.0,-74.80193139800001,Switch,Edge Network,H.264,17ms,498ms,6%,Chennai,"28.8479° N, 77.0729° E",High,4920 users,Mobile,,58%
250,14-12-2024 23.24,phishing attacks,Voice,+91 9137967807,+91 9222195934,500.0,-82.77452377611718,Switch,Edge Network,H.264,25ms,406ms,7%,Mumbai,"28.2448° N, 77.6336° E",Medium,2090 users,PBX,Equipment Breach,99%
251,18-12-2024 17.55,Slow Performance,Voice,+91 9593258835,+91 9030837267,408.0,-53.027396468962614,Switch,Edge Network,H.264,11ms,160ms,2%,Kolkata,"28.7424° N, 77.4277° E",Medium,904 users,Data,Call Interception,49%
252,17-12-2024 16.54,Intermittent Service,Voice,+91 9228748240,+91 9584615809,408.0,-57.590778625852145,PBX,Edge Network,G.711,38ms,275ms,7%,Kolkata,"28.3665° N, 77.1597° E",Medium,2930 users,PBX,DDoS,44%
253,18-12-2024 0.09,phishing attacks,Voice,+91 9686754211,+91 9065447342,503.0,-80.75318310650115,Mobile,Core Network,G.729,13ms,352ms,8%,Bangalore,"28.6985° N, 77.9602° E",High,4351 users,Mobile,Call Interception,95%
254,18-12-2024 21.13,Service Outage,Voice,+91 9235742583,+91 9477204093,408.0,-65.3335817698254,Router,Access Network,G.711,16ms,431ms,8%,Delhi NCR,"28.5811° N, 77.8753° E",High,581 users,PBX,Equipment Breach,47%
255,17-12-2024 9.22,Routing Table Overflow,Video,+91 9082569053,+91 9526917637,,-56.63408296941869,Router,Edge Network,G.711,12ms,115ms,0%,Delhi NCR,"28.5480° N, 77.2038° E",Low,4931 users,VoIP,DDoS,82%
256,14-12-2024 4.15,denial of services,Video,+91 9051755076,+91 9903088151,404.0,-80.54692132005846,Switch,Core Network,G.729,9ms,97ms,9%,Chennai,"28.5460° N, 77.6882° E",Low,1986 users,VoIP,,49%
257,14-12-2024 2.45,Hardware Malfunction,Video,+91 9016907374,+91 9379801391,404.0,-82.9798715739058,Router,Access Network,Opus,26ms,166ms,0%,Chennai,"28.9799° N, 77.2977° E",Low,4085 users,Data,Equipment Breach,45%
258,15-12-2024 4.26,Poor Voice Quality,Voice,+91 9523632801,+91 9040697814,500.0,-58.70904999219884,PBX,Core Network,H.264,10ms,125ms,3%,Chennai,"28.7294° N, 77.2165° E",Low,3413 users,Data,DDoS,49%
259,18-12-2024 22.35,Failure to Connect,Voice,+91 9757472654,+91 9443787482,408.0,-54.862999508302394,Switch,Edge Network,G.711,19ms,60ms,3%,Kolkata,"28.8744° N, 77.9625° E",Low,3856 users,Mobile,Equipment Breach,58%
260,16-12-2024 2.15,Slow Performance,Video,+91 9608692647,+91 9419229661,404.0,-75.61865575170971,PBX,Access Network,Opus,20ms,291ms,10%,Bangalore,"28.2771° N, 77.8882° E",Medium,5000 users,Mobile,Call Interception,99%
261,15-12-2024 7.21,Blank Response After Calling,Video,+91 9811614448,+91 9385512678,503.0,-41.94651739694735,Mobile,Access Network,G.729,44ms,108ms,9%,Delhi NCR,"28.9406° N, 77.4220° E",High,4372 users,Mobile,DDoS,75%
262,14-12-2024 6.38,Latency or Delays,Voice,+91 9169630317,+91 9590045402,404.0,-89.33313295232652,Switch,Access Network,G.711,40ms,325ms,5%,Delhi NCR,"28.4388° N, 77.8145° E",High,3540 users,PBX,Call Interception,45%
263,17-12-2024 7.10,Route Flapping,Video,+91 9635126978,+91 9081512543,,-41.98619539166134,Switch,Access Network,G.729,43ms,485ms,1%,Chennai,"28.3140° N, 77.3447° E",Medium,3456 users,VoIP,Equipment Breach,87%
264,18-12-2024 4.15,Slow Performance,Video,+91 9172148973,+91 9418012888,503.0,-55.78580574824541,Router,Access Network,H.264,29ms,339ms,1%,Kolkata,"28.0724° N, 77.6375° E",Critical,791 users,VoIP,Call Interception,94%
265,17-12-2024 12.23,Route Flapping,Voice,+91 9686472913,+91 9743500570,500.0,-61.773953955334115,Router,Core Network,G.711,49ms,195ms,0%,Chennai,"28.1059° N, 77.0432° E",Critical,4223 users,VoIP,Call Interception,86%
266,17-12-2024 5.13,Latency and Delay,Video,+91 9653373238,+91 9902688206,404.0,-69.39470635444593,Mobile,Edge Network,H.264,46ms,313ms,5%,Delhi NCR,"28.9246° N, 77.1506° E",High,4623 users,Mobile,DDoS,40%
267,18-12-2024 6.11,Degraded Performance,Voice,+91 9777336908,+91 9278651476,,-85.80167117852567,Mobile,Edge Network,H.264,36ms,366ms,2%,Delhi NCR,"28.2884° N, 77.3234° E",Critical,3716 users,VoIP,DDoS,89%
268,16-12-2024 13.12,Latency and Delay,Video,+91 9359114006,+91 9900995453,404.0,-89.33834622044873,PBX,Core Network,G.711,19ms,120ms,5%,Bangalore,"28.0846° N, 77.4455° E",High,3714 users,VoIP,Call Interception,85%
269,14-12-2024 1.40,Device Unresponsiveness,Video,+91 9596126594,+91 9609151348,,-77.47968809576737,Router,Access Network,Opus,32ms,435ms,1%,Delhi NCR,"28.5639° N, 77.6814° E",Critical,3053 users,PBX,Equipment Breach,99%
270,19-12-2024 10.20,Failure to Connect,Voice,+91 9355005646,+91 9629073430,500.0,-69.53629256195441,Switch,Access Network,H.264,40ms,96ms,7%,Kolkata,"28.8587° N, 77.7482° E",Critical,1327 users,Mobile,DDoS,52%
271,13-12-2024 18.19,Failure to Connect,Video,+91 9351950750,+91 9651004205,500.0,-80.83597759420951,Switch,Edge Network,G.729,11ms,318ms,0%,Bangalore,"28.3883° N, 77.6561° E",High,635 users,VoIP,,86%
272,19-12-2024 6.29,unauthorized access,Video,+91 9760426583,+91 9698898403,500.0,-56.31222995493603,Mobile,Access Network,H.264,11ms,473ms,7%,Chennai,"28.2179° N, 77.0948° E",High,1847 users,Data,Call Interception,57%
273,16-12-2024 19.40,Latency and Delay,Voice,+91 9381485765,+91 9397362640,404.0,-84.91759793927174,PBX,Access Network,G.729,34ms,342ms,7%,Mumbai,"28.6296° N, 77.1760° E",High,3390 users,Mobile,,51%
274,15-12-2024 23.37,Intermittent Service,Video,+91 9306422796,+91 9132472795,404.0,-71.69944065267052,Router,Access Network,Opus,49ms,299ms,2%,Mumbai,"28.1406° N, 77.7831° E",Medium,3473 users,PBX,DDoS,95%
275,15-12-2024 4.37,Slow Performance,Voice,+91 9195267931,+91 9903970720,500.0,-50.04314817653041,Mobile,Core Network,Opus,26ms,340ms,6%,Mumbai,"28.5451° N, 77.5042° E",Low,1473 users,Data,DDoS,75%
276,16-12-2024 7.10,Intermittent Service,Video,+91 9466002027,+91 9707521908,,-60.80522140325175,PBX,Edge Network,H.264,16ms,462ms,6%,Kolkata,"28.6122° N, 77.8583° E",Critical,4449 users,Mobile,DDoS,89%
277,13-12-2024 12.43,Failure to Connect,Voice,+91 9068808478,+91 9206461196,404.0,-57.85359865615901,PBX,Edge Network,G.711,30ms,456ms,9%,Mumbai,"28.3158° N, 77.3326° E",High,2601 users,Mobile,Call Interception,43%
278,15-12-2024 10.14,Intermittent Service,Video,+91 9163440231,+91 9725650443,408.0,-87.0416864885001,PBX,Edge Network,G.711,36ms,301ms,10%,Kolkata,"28.5388° N, 77.7356° E",Critical,1093 users,PBX,DDoS,40%
279,18-12-2024 0.48,Poor Voice Quality,Voice,+91 9171694387,+91 9225741784,,-51.61045050447416,Mobile,Edge Network,Opus,49ms,375ms,6%,Chennai,"28.4895° N, 77.4548° E",Medium,887 users,Mobile,,60%
280,13-12-2024 19.48,Poor Voice Quality,Voice,+91 9362552012,+91 9497517618,408.0,-65.84246321852999,Mobile,Edge Network,G.729,36ms,148ms,4%,Delhi NCR,"28.3940° N, 77.1168° E",Medium,158 users,Mobile,Call Interception,60%
281,13-12-2024 5.50,Dropped Calls,Voice,+91 9961001015,+91 9302166558,,-61.54858752591101,Switch,Core Network,G.729,30ms,394ms,5%,Bangalore,"28.8832° N, 77.4462° E",Critical,380 users,Data,Equipment Breach,62%
282,16-12-2024 9.39,Complete Service Downtime,Video,+91 9602828158,+91 9947127216,,-68.7238598539621,Router,Core Network,Opus,25ms,93ms,6%,Kolkata,"28.8183° N, 77.8003° E",Critical,881 users,VoIP,,97%
283,17-12-2024 19.05,Dropped Calls,Video,+91 9246972017,+91 9636654698,503.0,-53.25279963730257,Mobile,Core Network,Opus,29ms,146ms,1%,Bangalore,"28.4723° N, 77.8699° E",High,1820 users,Data,Call Interception,67%
284,13-12-2024 8.31,Route Flapping,Video,+91 9352388545,+91 9138187812,408.0,-54.27112788995807,Switch,Core Network,Opus,32ms,393ms,9%,Chennai,"28.4511° N, 77.2110° E",Low,1380 users,VoIP,DDoS,94%
285,16-12-2024 2.55,Device Unresponsiveness,Voice,+91 9751955067,+91 9223330515,408.0,-63.68871164105391,Router,Access Network,Opus,8ms,96ms,1%,Kolkata,"28.5870° N, 77.6365° E",Critical,4591 users,Data,DDoS,58%
286,13-12-2024 21.14,unauthorized access,Video,+91 9068154652,+91 9093127336,408.0,-50.905466884762944,Switch,Access Network,G.729,11ms,303ms,7%,Delhi NCR,"28.2281° N, 77.0415° E",Low,4778 users,Data,,50%
287,17-12-2024 9.10,unauthorized access,Video,+91 9148603843,+91 9230388269,404.0,-58.305960723520315,Mobile,Core Network,H.264,45ms,285ms,4%,Kolkata,"28.7316° N, 77.4224° E",Low,998 users,VoIP,DDoS,85%
288,12-12-2024 14.34,Degraded Performance,Voice,+91 9942676585,+91 9773104420,404.0,-56.55892555162903,Router,Access Network,G.711,28ms,111ms,9%,Bangalore,"28.1922° N, 77.2558° E",Medium,3447 users,Mobile,DDoS,85%
289,19-12-2024 7.38,Route Flapping,Voice,+91 9336855491,+91 9478502522,404.0,-49.97911729609484,Switch,Access Network,G.729,47ms,139ms,10%,Mumbai,"28.7445° N, 77.4675° E",Critical,3140 users,PBX,Equipment Breach,56%
290,14-12-2024 13.24,Hardware Malfunction,Voice,+91 9050492221,+91 9093840521,408.0,-72.80711699269969,Mobile,Core Network,G.729,40ms,147ms,5%,Mumbai,"28.4970° N, 77.8594° E",High,3935 users,Mobile,Call Interception,72%
291,17-12-2024 2.15,Network Downtime,Voice,+91 9108839571,+91 9062021397,500.0,-47.95589113340925,Switch,Edge Network,Opus,6ms,384ms,4%,Bangalore,"28.2952° N, 77.2775° E",High,2963 users,Mobile,Equipment Breach,92%
292,13-12-2024 14.16,Complete Service Downtime,Voice,+91 9321159442,+91 9023174092,404.0,-45.86784727449351,Router,Core Network,G.729,35ms,442ms,2%,Bangalore,"28.9952° N, 77.5802° E",Medium,2000 users,Mobile,Equipment Breach,92%
293,15-12-2024 12.43,Device Unresponsiveness,Video,+91 9728846966,+91 9580505528,404.0,-70.44721435377393,PBX,Access Network,G.729,27ms,117ms,2%,Delhi NCR,"28.8757° N, 77.5002° E",High,144 users,PBX,DDoS,59%
294,16-12-2024 9.48,Failure to Connect,Voice,+91 9307642234,+91 9219934768,503.0,-82.59955519582815,Router,Core Network,Opus,46ms,67ms,3%,Delhi NCR,"28.7874° N, 77.7257° E",High,1511 users,Data,Equipment Breach,81%
295,16-12-2024 15.24,Latency or Delays,Video,+91 9088906756,+91 9157743744,,-54.80339747657811,Switch,Edge Network,Opus,22ms,338ms,5%,Chennai,"28.5958° N, 77.8588° E",Critical,3670 users,PBX,Call Interception,95%
296,17-12-2024 20.03,Misconfigured Routes,Voice,+91 9028744305,+91 9264255994,404.0,-76.13309175046393,Router,Edge Network,Opus,48ms,470ms,3%,Bangalore,"28.5842° N, 77.2254° E",High,3001 users,PBX,,50%
297,16-12-2024 20.19,data breaches,Video,+91 9013736093,+91 9333277694,503.0,-79.77351458265784,Router,Edge Network,G.729,15ms,185ms,8%,Kolkata,"28.2742° N, 77.2461° E",Medium,4264 users,VoIP,DDoS,52%
298,16-12-2024 19.45,No Dial Tone,Video,+91 9594843491,+91 9805971708,500.0,-81.93732704827694,PBX,Access Network,H.264,37ms,282ms,10%,Delhi NCR,"28.4506° N, 77.8607° E",Critical,2836 users,PBX,DDoS,88%
299,13-12-2024 8.06,Service Outage,Video,+91 9833468395,+91 9980602331,503.0,-68.78398889294603,Router,Edge Network,Opus,47ms,394ms,2%,Kolkata,"28.9704° N, 77.3426° E",Medium,766 users,Mobile,Call Interception,89%
300,12-12-2024 13.01,Intermittent Failure,Video,+91 9825206191,+91 9870986708,408.0,-75.01155660745013,Mobile,Access Network,Opus,31ms,224ms,2%,Mumbai,"28.0292° N, 77.1918° E",Critical,3878 users,VoIP,DDoS,53%
301,16-12-2024 0.19,Partial Outage,Voice,+91 9711615873,+91 9474475033,408.0,-64.39732960366358,PBX,Core Network,Opus,18ms,59ms,3%,Chennai,"28.8576° N, 77.4422° E",Low,2946 users,PBX,DDoS,89%
302,13-12-2024 19.31,Poor Voice Quality,Video,+91 9333426355,+91 9600975020,503.0,-64.03181538917899,PBX,Access Network,G.711,35ms,465ms,0%,Delhi NCR,"28.8647° N, 77.5108° E",Critical,722 users,Mobile,,74%
303,14-12-2024 9.37,Intermittent Connectivity,Voice,+91 9772736934,+91 9203533482,408.0,-63.017816449788064,Switch,Edge Network,G.711,9ms,281ms,2%,Kolkata,"28.8440° N, 77.8747° E",Medium,733 users,VoIP,Equipment Breach,50%
304,12-12-2024 17.36,Partial Outage,Video,+91 9177480279,+91 9949736355,404.0,-62.41057917364545,Mobile,Core Network,H.264,8ms,261ms,10%,Chennai,"28.6273° N, 77.5437° E",Critical,2927 users,PBX,,97%
305,12-12-2024 23.03,Network Downtime,Video,+91 9131576249,+91 9630794610,503.0,-70.53461203960582,Switch,Edge Network,H.264,7ms,109ms,5%,Kolkata,"28.4941° N, 77.9889° E",Medium,639 users,Data,Call Interception,95%
306,17-12-2024 15.38,Intermittent Failure,Voice,+91 9792077149,+91 9281368176,500.0,-58.19244973671693,Switch,Core Network,H.264,15ms,403ms,4%,Delhi NCR,"28.9437° N, 77.5113° E",Low,3071 users,PBX,Equipment Breach,76%
307,13-12-2024 9.24,Dropped Calls,Voice,+91 9852186411,+91 9057042190,404.0,-60.608294867711265,PBX,Core Network,G.711,29ms,281ms,3%,Chennai,"28.0537° N, 77.3009° E",Critical,2844 users,Mobile,DDoS,60%
308,14-12-2024 18.58,Degraded Performance,Video,+91 9366690990,+91 9587170543,408.0,-89.51477378444083,Router,Core Network,Opus,36ms,461ms,1%,Mumbai,"28.3575° N, 77.5058° E",Medium,2885 users,Data,Call Interception,54%
309,13-12-2024 3.12,Service Outage,Voice,+91 9977970048,+91 9207972216,500.0,-87.47476112479598,Switch,Edge Network,Opus,17ms,106ms,3%,Mumbai,"28.4819° N, 77.8374° E",High,4888 users,PBX,DDoS,70%
310,13-12-2024 18.07,unauthorized access,Video,+91 9670207949,+91 9866080706,404.0,-88.49921419955898,PBX,Access Network,H.264,23ms,206ms,10%,Kolkata,"28.9686° N, 77.5039° E",Medium,1240 users,Mobile,DDoS,80%
311,14-12-2024 0.43,Latency and Delay,Voice,+91 9333362985,+91 9918566675,,-64.59848106373543,Mobile,Core Network,G.729,29ms,470ms,9%,Chennai,"28.3431° N, 77.6630° E",High,1181 users,PBX,Equipment Breach,94%
312,17-12-2024 6.40,No Dial Tone,Video,+91 9443303997,+91 9139097310,408.0,-40.72967179263581,Mobile,Core Network,Opus,11ms,388ms,1%,Kolkata,"28.9324° N, 77.1628° E",High,2110 users,VoIP,Equipment Breach,45%
313,19-12-2024 4.42,Intermittent Service,Voice,+91 9216192085,+91 9302493085,404.0,-82.0245434667745,Switch,Access Network,G.711,43ms,222ms,2%,Bangalore,"28.7060° N, 77.1280° E",Critical,1044 users,Mobile,Equipment Breach,54%
314,16-12-2024 19.02,malware infections,Video,+91 9979561731,+91 9888235907,503.0,-40.8202391529131,Mobile,Edge Network,H.264,22ms,388ms,6%,Mumbai,"28.8934° N, 77.2340° E",High,4279 users,VoIP,Call Interception,48%
315,13-12-2024 5.01,Degraded Performance,Voice,+91 9876944007,+91 9153178574,,-69.9876749784459,Switch,Core Network,Opus,18ms,484ms,7%,Delhi NCR,"28.3072° N, 77.2446° E",High,1950 users,VoIP,Call Interception,73%
316,12-12-2024 16.01,phishing attacks,Voice,+91 9775750126,+91 9983266998,503.0,-66.14550907585189,Switch,Core Network,Opus,19ms,112ms,6%,Delhi NCR,"28.8807° N, 77.5431° E",Critical,2365 users,PBX,DDoS,85%
317,17-12-2024 14.40,Slow Performance,Voice,+91 9361245071,+91 9265805501,408.0,-56.16769648965644,Mobile,Core Network,Opus,15ms,498ms,3%,Delhi NCR,"28.5311° N, 77.5919° E",High,346 users,PBX,Call Interception,97%
318,16-12-2024 12.34,Blank Response After Calling,Video,+91 9672129444,+91 9672083730,500.0,-51.055283360249454,Router,Edge Network,G.729,15ms,73ms,3%,Mumbai,"28.3110° N, 77.0760° E",Low,4634 users,VoIP,Equipment Breach,100%
319,17-12-2024 13.53,Slow Performance,Video,+91 9576770848,+91 9821042206,408.0,-64.66918586653657,Mobile,Access Network,G.729,31ms,258ms,0%,Mumbai,"28.6445° N, 77.5327° E",High,3884 users,PBX,Equipment Breach,43%
320,14-12-2024 22.36,Service Outage,Video,+91 9129371319,+91 9406120540,408.0,-79.64566796175137,Switch,Edge Network,G.711,48ms,390ms,4%,Kolkata,"28.9412° N, 77.7981° E",Low,4453 users,Data,Call Interception,59%
321,17-12-2024 15.39,Degraded Performance,Voice,+91 9402413526,+91 9084962462,,-86.50434178484466,PBX,Access Network,G.711,44ms,273ms,9%,Kolkata,"28.6067° N, 77.4261° E",Critical,1376 users,Mobile,Call Interception,52%
322,13-12-2024 17.01,Unauthorized Disconnections,Voice,+91 9939779905,+91 9463706757,,-79.34587982703283,Router,Edge Network,Opus,32ms,435ms,8%,Chennai,"28.8531° N, 77.1076° E",High,590 users,Data,,96%
323,14-12-2024 14.06,Blank Response After Calling,Voice,+91 9831476611,+91 9292081261,500.0,-53.316898918625085,Switch,Access Network,G.711,7ms,411ms,5%,Mumbai,"28.0122° N, 77.6305° E",Medium,4412 users,PBX,Call Interception,66%
324,12-12-2024 23.52,Echo During Calls,Voice,+91 9431237786,+91 9771641416,404.0,-84.16780565152672,Mobile,Edge Network,G.729,49ms,123ms,6%,Kolkata,"28.6922° N, 77.6110° E",Medium,488 users,VoIP,,98%
325,17-12-2024 6.59,data breaches,Voice,+91 9083960954,+91 9487431210,500.0,-68.06112540282692,Mobile,Core Network,Opus,5ms,369ms,1%,Chennai,"28.3093° N, 77.3712° E",Low,708 users,Data,,81%
326,18-12-2024 13.55,Poor Voice Quality,Voice,+91 9198625683,+91 9114197957,503.0,-75.94834533686637,PBX,Core Network,G.711,35ms,496ms,9%,Mumbai,"28.9043° N, 77.9635° E",High,4248 users,Mobile,Equipment Breach,89%
327,17-12-2024 10.08,malware infections,Video,+91 9472349060,+91 9186107987,500.0,-52.51212590002783,Mobile,Core Network,G.711,25ms,352ms,9%,Chennai,"28.7673° N, 77.6166° E",Medium,2504 users,PBX,DDoS,93%
328,16-12-2024 3.37,unauthorized access,Voice,+91 9015122276,+91 9476343073,500.0,-66.2792337356344,Switch,Access Network,G.711,16ms,315ms,7%,Delhi NCR,"28.9489° N, 77.6691° E",High,3146 users,Data,Equipment Breach,70%
329,13-12-2024 14.16,Intermittent Failure,Video,+91 9836915464,+91 9683991692,404.0,-69.37350337051011,Mobile,Core Network,H.264,20ms,422ms,6%,Delhi NCR,"28.3325° N, 77.8902° E",Medium,3836 users,Data,Call Interception,100%
330,18-12-2024 13.08,Device Unresponsiveness,Video,+91 9296642990,+91 9604580416,,-66.80253584158984,PBX,Core Network,G.729,40ms,218ms,6%,Kolkata,"28.0772° N, 77.8863° E",High,826 users,Data,Call Interception,67%
331,15-12-2024 3.47,phishing attacks,Video,+91 9113666607,+91 9716971264,,-76.14630640547807,PBX,Edge Network,G.729,35ms,93ms,1%,Bangalore,"28.3070° N, 77.0367° E",High,3596 users,PBX,Call Interception,62%
332,17-12-2024 3.18,Complete Service Downtime,Video,+91 9078188416,+91 9796700618,,-87.88762482385273,Switch,Access Network,Opus,44ms,110ms,4%,Mumbai,"28.2967° N, 77.0666° E",Critical,224 users,PBX,Equipment Breach,99%
333,15-12-2024 0.50,data breaches,Voice,+91 9641297793,+91 9776520461,503.0,-73.95087101165534,Router,Access Network,G.711,21ms,236ms,1%,Chennai,"28.4010° N, 77.4504° E",High,1287 users,Mobile,,49%
334,15-12-2024 23.12,Poor Voice Quality,Video,+91 9639722205,+91 9864700715,503.0,-56.99335777885621,Router,Core Network,G.711,45ms,74ms,6%,Chennai,"28.6884° N, 77.5958° E",Low,2985 users,PBX,Call Interception,55%
335,18-12-2024 3.21,No Dial Tone,Video,+91 9280543606,+91 9465758547,404.0,-85.19671199580306,Switch,Access Network,G.711,49ms,430ms,10%,Mumbai,"28.9764° N, 77.0238° E",High,4225 users,VoIP,Call Interception,54%
336,15-12-2024 1.06,Failure to Connect,Voice,+91 9712417586,+91 9926580459,404.0,-77.77207512734302,Switch,Access Network,H.264,48ms,162ms,4%,Mumbai,"28.7705° N, 77.9813° E",Low,3422 users,VoIP,Call Interception,79%
337,16-12-2024 0.18,Poor Voice Quality,Voice,+91 9731769677,+91 9003697394,408.0,-78.99744365055349,Mobile,Access Network,Opus,19ms,472ms,1%,Bangalore,"28.7457° N, 77.4514° E",Medium,4516 users,VoIP,,85%
338,16-12-2024 10.47,Service Outage,Voice,+91 9657858919,+91 9847350432,408.0,-53.59483480897016,Switch,Access Network,G.711,10ms,175ms,4%,Kolkata,"28.1818° N, 77.4322° E",Low,4718 users,Mobile,DDoS,44%
339,17-12-2024 22.04,unauthorized access,Video,+91 9931842469,+91 9336288550,408.0,-42.520125420483716,Switch,Access Network,G.729,48ms,101ms,6%,Chennai,"28.8922° N, 77.7325° E",High,72 users,PBX,,55%
340,18-12-2024 5.05,Network Downtime,Voice,+91 9734936467,+91 9047419587,503.0,-69.26498637942359,Router,Core Network,G.729,41ms,437ms,7%,Mumbai,"28.8842° N, 77.3590° E",Critical,4706 users,Data,,48%
341,14-12-2024 7.12,malware infections,Video,+91 9371880740,+91 9370099409,,-70.14653509025918,Router,Core Network,H.264,8ms,357ms,7%,Mumbai,"28.1176° N, 77.9148° E",High,4748 users,Mobile,Equipment Breach,66%
342,14-12-2024 18.46,Service Outage,Voice,+91 9524195141,+91 9837691706,408.0,-66.57619885830411,Router,Core Network,G.711,16ms,134ms,1%,Bangalore,"28.5629° N, 77.9359° E",Critical,3007 users,Data,Call Interception,52%
343,17-12-2024 21.23,Latency and Delay,Voice,+91 9501547359,+91 9452386060,500.0,-59.479061021442305,Router,Access Network,G.729,30ms,398ms,5%,Delhi NCR,"28.2988° N, 77.6809° E",Low,4385 users,VoIP,DDoS,55%
344,12-12-2024 16.52,malware infections,Video,+91 9136863762,+91 9523909458,,-79.66838545347562,Switch,Core Network,H.264,48ms,117ms,3%,Chennai,"28.9966° N, 77.3798° E",High,1774 users,Data,Call Interception,99%
